,edges,nodes,clique,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,746.4,1322.25,1322.25,0.0010340171662634576,-19.44184999999998,0.002804038785512905,0.05,678.9,598.5,1174.25,-100.86769999999999,-19.44184999999998,-74.36999999999986,1197.0,678.45,-19.44184999999998,-0.0060258364158197785,-0.006025836415819554,-0.02039119602298075,2.4625,575.9,575.9,605.25
std,219.207279940579,360.6210833956796,360.6210833956796,0.0002406667935554237,107.95955754929474,0.001041938168114709,0.22360679774997894,188.26881677118243,154.5054930040387,429.8147550796861,68.97363519116716,107.95955754929474,1.4580029302424492e-14,309.0109860080774,186.39021744151367,107.95955754929474,0.034214455460192084,0.03421445546019197,0.0758505655694145,0.3272191443376329,142.26657705648373,142.26657705648373,157.0544240232129
min,469.0,844.0,844.0,0.0006646229754398863,-215.66199999999995,0.0014781406150899392,0.0,429.0,388.0,627.0,-274.6470000000002,-215.66199999999995,-74.36999999999985,776.0,431.0,-215.66199999999995,-0.06012570501156783,-0.060125705011567464,-0.15854647256438947,2.0,369.0,369.0,392.0
25%,577.25,1053.75,1053.75,0.000879081506415635,-80.1364999999999,0.0021515565725806975,0.0,538.25,486.0,820.25,-131.33724999999941,-80.1364999999999,-74.36999999999985,972.0,540.25,-80.1364999999999,-0.029605233950432405,-0.029605233950432484,-0.07153330518968826,2.375,480.0,480.0,492.5
50%,727.0,1282.5,1282.5,0.0009790588134248308,-32.73900000000003,0.0023681976337014002,0.0,657.5,587.0,1093.0,-89.27650000000001,-32.73900000000003,-74.36999999999985,1174.0,657.0,-32.73900000000003,-0.01022472132318452,-0.010224721323183368,-0.026670086803693028,2.5,571.5,571.5,589.5
75%,855.75,1499.0,1499.0,0.0011370770874312745,51.96925000000016,0.003365268653696277,0.0,770.0,670.25,1374.5,-61.26624999999992,51.96925000000016,-74.36999999999985,1340.5,774.25,51.96925000000016,0.01764458723628584,0.017644587236286355,0.03446226379505056,2.5,643.25,643.25,676.75
max,1180.0,2024.0,2024.0,0.0015403780600016133,252.6930000000005,0.005245934003665093,1.0,1061.0,907.0,2068.0,13.688999999999984,252.6930000000005,-74.36999999999985,1814.0,1043.0,252.6930000000005,0.0581134787755792,0.0581134787755792,0.13348811410459613,3.0,862.0,862.0,918.0
