,name,edges,nodes,clique,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
row2-32,row2-32,664,1176,1176,0.0011022096781975192,146.04700000000003,0.002729898898445739,0,598,535,1029.0,70.14199999999991,146.04700000000003,1171,1070,597,146.04700000000003,0.009492812584757046,0.009492812584757128,0.12418962585034016,2.5,512,512,540
row2-33,row2-33,447,802,802,0.0015707194767969803,26.10899999999998,0.003781477896699037,0,413,365,662.0,22.240000000000034,26.10899999999998,1171,730,415,26.10899999999998,-0.026297102821433892,-0.02629710282143541,0.032554862842892746,2.0,355,355,366
row2-34,row2-34,478,867,867,0.0014248827729253192,82.84099999999997,0.0031977431564873546,0,440,400,695.0,31.21399999999997,82.84099999999997,1171,800,442,82.84099999999997,0.03272832393813675,0.03272832393813617,0.0955490196078431,2.0,389,389,402
row2-35,row2-35,479,863,863,0.001441714410153972,-4.765000000000013,0.002621648246940937,0,444,396,699.0,-20.012000000000036,-4.765000000000013,1171,792,447,-4.765000000000013,-0.03373931623931569,-0.03373931623931614,-0.005521436848203955,2.0,384,384,397
row2-36,row2-36,473,842,842,0.0015188060814379453,-19.85400000000008,0.00324128599524093,0,427,379,721.0,18.214999999999993,-19.85400000000008,1171,758,435,-19.85400000000008,-0.023018693032597196,-0.02301869303259691,-0.023579572446555917,2.0,369,369,386
row2-37,row2-37,563,989,989,0.0013241813797931078,39.38000000000002,0.0037403292956777177,0,515,437,886.0,-24.66399999999999,39.38000000000002,1171,874,504,39.38000000000002,-0.08205611595338243,-0.08205611595338339,0.03981799797775532,2.5,426,426,443
row2-38,row2-38,555,993,993,0.001284190949550077,-89.94899999999997,0.00325537769901139,0,514,452,848.0,-77.539,-89.94899999999997,1171,904,508,-89.94899999999997,0.01840171662656845,0.018401716626568636,-0.09058308157099695,2.0,438,438,457
row2-39,row2-39,624,1080,1080,0.0012870448011010251,-4.947000000000091,0.0033499773263276395,0,560,483,1075.0,-48.480999999999945,-4.947000000000091,1171,966,554,-4.947000000000091,0.0002716653083405178,0.00027166530834021527,-0.00458055555555564,3.0,456,456,489
row2-4,row2-4,427,776,776,0.0015705021616228808,118.16899999999984,0.0035954214360041847,1,396,353,610.0,57.76699999999999,118.16899999999984,1171,706,401,118.16899999999984,-0.0462246071291691,-0.046224607129168205,0.15227963917525753,2.5,350,350,357
row2-40,row2-40,477,840,840,0.0015754772310195438,-75.8920000000001,0.0057814252830454705,0,436,374,770.0,-8.525999999999973,-75.8920000000001,1171,748,431,-75.8920000000001,-0.046623042767001695,-0.04662304276700166,-0.09034761904761916,2.75,363,363,381
row2-5,row2-5,543,946,946,0.0014415472555007447,-39.38900000000012,0.004736298909138389,0,486,423,913.0,55.02700000000001,-39.38900000000012,1171,846,486,-39.38900000000012,0.04665453377582756,0.046654533775826956,-0.04163742071881619,2.5,403,403,431
row2-6,row2-6,468,849,849,0.0014491706854531047,-26.652,0.003074891346267989,0,435,392,675.0,26.518999999999988,-26.652,1171,784,437,-26.652,-0.022906979235862806,-0.02290697923586261,-0.0313922261484099,2.0,381,381,394
row2-7,row2-7,392,684,684,0.0019672982684464553,8.399000000000076,0.004383668925383759,0,359,305,644.0,46.47499999999995,8.399000000000076,1171,610,349,8.399000000000076,-0.034482758620689793,-0.03448275862068968,0.012279239766081982,2.0,292,292,310
row2-8,row2-8,397,705,705,0.0018388673973780366,-103.59099999999992,0.004559645639634951,0,364,318,623.0,62.56399999999999,-103.59099999999992,1171,636,368,-103.59099999999992,-0.03571123086134752,-0.03571123086134637,-0.14693758865248216,2.5,308,308,321
row2-9,row2-9,427,773,773,0.001607859828807755,10.646000000000019,0.003578116191038697,0,391,355,628.0,57.90600000000008,10.646000000000019,1171,710,397,10.646000000000019,0.020097357440889727,0.020097357440890168,0.01377231565329886,2.5,346,346,358
row3-1,row3-1,501,895,895,0.0014263098913093297,-106.33800000000005,0.0030513723939696027,0,457,405,764.0,69.85200000000002,-106.33800000000005,1171,810,457,-106.33800000000005,-0.04309337647164526,-0.04309337647164553,-0.11881340782122911,2.5,394,394,408
row3-10,row3-10,461,816,816,0.0015900797946990669,78.37900000000002,0.0033219667030499147,0,414,368,713.0,-14.199999999999998,78.37900000000002,1171,736,420,78.37900000000002,-0.015539414146225875,-0.015539414146225266,0.0960526960784314,2.5,355,355,374
row3-11,row3-11,582,1030,1030,0.0012699985218312933,-37.67900000000002,0.003430448953147808,0,534,467,919.0,-9.575000000000015,-37.67900000000002,1171,934,522,-37.67900000000002,0.022080382516124625,0.022080382516126162,-0.03658155339805828,2.0,448,448,472
row3-12,row3-12,453,810,810,0.001581742434647257,140.78400000000013,0.0039856008043014386,0,421,373,699.0,67.49599999999997,140.78400000000013,1171,746,412,140.78400000000013,0.03506472226773715,0.035064722267737186,0.17380740740740758,2.5,357,357,375
