,edges,nodes,clique,average_cluster,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,num_isolate,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,500.8,891.525,891.525,0.0,0.0014718628457265578,25.041049999999977,0.003739147952614201,0.05,458.275,404.6,0.0,772.225,26.18935,25.041049999999977,1171.0,809.2,457.0,25.041049999999977,-0.004091906606462867,-0.004091906606462659,0.02371186538857644,2.275,390.775,390.775,408.675
std,78.64043456592766,134.81934493695914,134.81934493695914,0.0,0.00021445894392613054,90.18609683684122,0.0011723852515528868,0.22072142786315221,69.21204412009554,60.24854504041719,0.0,140.4842335345674,47.03179045783001,90.18609683684122,0.0,120.49709008083438,67.75067413800284,90.18609683684122,0.04589401316436996,0.04589401316437005,0.10082328929165554,0.31419412584889095,56.79268980585983,56.79268980585983,60.859395541206496
min,378.0,684.0,684.0,0.0,0.0010848962060262082,-205.5620000000001,0.0022150249422976855,0.0,353.0,305.0,0.0,556.0,-77.539,-205.5620000000001,1171.0,610.0,349.0,-205.5620000000001,-0.08205611595338243,-0.08205611595338339,-0.27154821664465006,2.0,292.0,292.0,310.0
25%,446.5,808.0,808.0,0.0,0.001328874399489091,-38.10650000000005,0.0030941375552535873,0.0,412.5,367.25,0.0,657.75,-8.754999999999985,-38.10650000000005,1171.0,734.5,414.25,-38.10650000000005,-0.03755676726392195,-0.03755676726392116,-0.037845520228247755,2.0,355.0,355.0,372.0
50%,480.0,859.5,859.5,0.0,0.0014454425478035383,14.3005,0.003363843349002341,0.0,441.0,393.0,0.0,751.5,25.054000000000016,14.3005,1171.0,786.0,439.5,14.3005,-0.0015783514103862954,-0.0015783514103867003,0.01951274010513043,2.0,383.0,383.0,395.5
75%,550.5,976.25,976.25,0.0,0.0015838267746602094,89.25999999999998,0.004298724646298212,0.0,502.75,441.5,0.0,875.5,55.712,89.25999999999998,1171.0,883.0,498.75,89.25999999999998,0.020593113709698452,0.020593113709699167,0.09593825545283258,2.5,426.75,426.75,444.5
max,690.0,1213.0,1213.0,0.0,0.0019672982684464553,219.18399999999994,0.009113728376815003,1.0,624.0,543.0,0.0,1095.0,157.5240000000002,219.18399999999994,1171.0,1086.0,618.0,219.18399999999994,0.13166466356621598,0.13166466356621556,0.20612577962577935,3.0,523.0,523.0,549.0
