,name,edges,nodes,clique,average_cluster,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,num_isolate,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
p27,p27,764,1389,1389,0.0,0.0008885513942746246,-47.3809999999997,0.0025955458755851234,0,722,644,0,1117.0,-123.416,-47.3809999999997,1389,1288,710,-47.3809999999997,-0.014277963938088493,-0.014277963938088398,-0.03411159107271397,2.5,625,625,645
p28,p28,490,911,911,0.0,0.0012784325078507297,19.70599999999977,0.0025705430101034413,0,465,426,0,646.0,-107.06400000000006,19.70599999999977,911,852,471,19.70599999999977,-0.0408034824565991,-0.04080348245660039,0.021631174533479437,2.0,421,421,427
p29,p29,524,966,966,0.0,0.0012316873884794589,124.11899999999996,0.002916409389066342,0,495,452,0,716.0,-101.43500000000006,124.11899999999996,966,904,490,124.11899999999996,0.013389121338912855,0.013389121338911989,0.12848757763975152,2.0,442,442,453
p30,p30,1557,2665,2665,0.0,0.0005316097389268149,-201.7610000000006,0.0014275810224102636,0,1379,1184,0,2741.0,49.94299999999975,-201.7610000000006,2665,2368,1370,-201.7610000000006,0.03529670417524429,0.03529670417524424,-0.07570769230769253,2.5,1108,1108,1206
p31,p31,946,1642,1642,0.0,0.0008421725192640396,-243.06300000000002,0.0026634105328262533,0,855,738,0,1617.0,-149.01699999999977,-243.06300000000002,1642,1476,838,-243.06300000000002,-0.001477248253540995,-0.0014772482535406932,-0.14802862362971986,3.0,696,696,747
p32,p32,708,1290,1290,0.0,0.000949196440563463,104.40399999999978,0.0020262558623494447,0,668,593,0,1018.0,-123.82600000000023,104.40399999999978,1290,1186,661,104.40399999999978,-0.015355556332855576,-0.015355556332855411,0.08093333333333316,2.0,582,582,597
p33,p33,1039,1817,1817,0.0,0.0007358711209275742,-198.35600000000014,0.0017430617548693788,0,945,810,0,1700.0,-126.60100000000011,-198.35600000000014,1817,1620,927,-198.35600000000014,-0.03959272301521201,-0.03959272301521169,-0.10916675839295549,2.5,778,778,821
p34,p34,511,927,927,0.0,0.0013264958220818067,-48.76699999999996,0.0029963909582697507,0,477,425,0,734.0,-31.707000000000107,-48.76699999999996,927,850,472,-48.76699999999996,-0.01325096760662745,-0.013250967606627376,-0.052607335490830597,2.0,416,416,426
p35,p35,809,1454,1454,0.0,0.0008665370986934959,-61.68999999999987,0.003494664273724964,0,742,664,0,1207.0,-139.03499999999994,-61.68999999999987,1454,1328,746,-61.68999999999987,0.015176976513396147,0.015176976513397255,-0.04242778541953224,2.5,645,645,672
p36,p36,962,1695,1695,0.0,0.0007807996062219715,-72.36499999999975,0.002664298422053016,0,881,763,0,1556.0,-231.1079999999999,-72.36499999999975,1695,1526,871,-72.36499999999975,-0.012302941494642545,-0.012302941494645172,-0.04269321533923289,3.0,733,733,770
p37,p37,840,1504,1504,0.0,0.0008398392340614271,59.51900000000001,0.002377532212871575,0,777,681,0,1256.0,-178.47200000000024,59.51900000000001,1504,1362,774,59.51900000000001,-0.048967909049884024,-0.048967909049882845,0.03957380319148937,2.0,664,664,688
p38,p38,905,1560,1560,0.0,0.0009025149179094002,-88.59099999999972,0.0028303235528472385,0,812,690,0,1580.0,-119.98799999999997,-88.59099999999972,1560,1380,805,-88.59099999999972,0.05902504159005406,0.05902504159005341,-0.056789102564102384,2.5,655,655,708
p39,p39,667,1182,1182,0.0,0.001094625230370124,26.71500000000014,0.002718004494437851,1,620,535,0,1035.0,-149.71399999999997,26.71500000000014,1182,1070,610,26.71500000000014,-0.0036785550671978337,-0.003678555067198153,0.02260152284263971,2.5,516,516,540
p40,p40,888,1554,1554,0.0,0.0008715997493478852,-127.37000000000052,0.002671651978126875,0,789,698,0,1475.0,-56.66700000000021,-127.37000000000052,1554,1396,807,-127.37000000000052,0.0602905846013056,0.060290584601304216,-0.0819626769626773,2.75,666,666,713
