, points, abb_vol, obb_vol , voxel_grid , avg_dist , poison_avg_density  , bpa_mesh _points, bpa_mesh _triangle,  poison_mesh _points,  poison_mesh _triangle, convex_hull _points, convex_hull _triangle
count,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
mean,15090.372727272726,128.118682391679,180.7025844169481,2.0,0.04569286949729925,5.949983891843647,4492.0,15946.0,122161.0,61016.0,234.0,119.0
std,3582.0764539837996,46.982190196387876,57.04224702880557,0.0,0.002085931020961343,0.23738976053204167,0.0,0.0,0.0,0.0,0.0,0.0
min,8404.0,63.55925327229823,82.83389063479508,2.0,0.040691196911436,5.567492390458976,4492.0,15946.0,122161.0,61016.0,234.0,119.0
25%,12463.75,99.30811381064304,145.33264813087428,2.0,0.0443687030467754,5.783218091566658,4492.0,15946.0,122161.0,61016.0,234.0,119.0
50%,14753.0,121.36400094877553,174.89771296066357,2.0,0.04566686208198805,5.901672248879907,4492.0,15946.0,122161.0,61016.0,234.0,119.0
75%,16970.75,148.43937204910088,200.69421746274975,2.0,0.0470857338274294,6.052782361322368,4492.0,15946.0,122161.0,61016.0,234.0,119.0
max,28328.0,425.0429206887768,428.4944118802511,2.0,0.0504603119790697,6.783173931214428,4492.0,15946.0,122161.0,61016.0,234.0,119.0
