,edges,nodes,clique,average_cluster,g_eff,triangle,g_reach,min_cycle_basis,max_ind_set,max_matching,num_isolate,s_materic,tree_branching_weight,closeness_vitality,num_clique,min_vertex_cover,dominating_set,clustering,assort_coeff,pearson_coeff,avg_neighbor_degree,avg_degree_connectivity,num_connected_component,num_connected,min_weight_matching
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,764.35,1357.125,1357.125,0.0,0.0010011957498163204,-39.05897500000001,0.0026586280690848157,0.05,698.475,615.25,0.0,1195.175,-104.11957500000001,-39.05897500000001,1171.0,1230.5,696.7,-39.05897500000001,-0.005476939109435149,-0.005476939109435081,-0.0269211332090655,2.4125,592.825,592.825,621.975
std,231.8504767942986,381.351186656214,381.351186656214,0.0,0.00022122309370874854,109.91489877627767,0.0008111898932749943,0.22072142786315221,197.00917426249404,163.95993100254395,0.0,457.80361300116783,65.92374936393831,109.91489877627767,0.0,327.9198620050879,196.86976041053782,109.91489877627767,0.03402646490572631,0.03402646490572617,0.07620716715020523,0.33277196319278385,150.17577521537373,150.17577521537373,167.78656886743852
min,469.0,844.0,844.0,0.0,0.0005316097389268149,-243.06300000000002,0.0014275810224102636,0.0,434.0,388.0,0.0,627.0,-274.6470000000002,-243.06300000000002,1171.0,776.0,431.0,-243.06300000000002,-0.06446103090853894,-0.06446103090853787,-0.15854647256438947,2.0,369.0,369.0,392.0
25%,577.25,1053.75,1053.75,0.0,0.0008604459538361319,-102.66650000000001,0.0021952496691978692,0.0,534.25,486.0,0.0,820.25,-144.51474999999982,-102.66650000000001,1171.0,972.0,540.25,-102.66650000000001,-0.02932146677998051,-0.029321466779980793,-0.08419817005455327,2.0,480.0,480.0,492.5
50%,739.5,1298.5,1298.5,0.0,0.0009668820094997171,-50.628,0.0025162697535357293,0.0,669.0,591.0,0.0,1125.0,-104.781,-50.628,1171.0,1182.0,666.5,-50.628,-0.011325264355419352,-0.01132526435541859,-0.04256050037938257,2.5,578.0,578.0,594.5
75%,890.5,1555.5,1555.5,0.0,0.0011364583802738536,36.78925000000009,0.0028934035787055107,0.0,798.25,692.0,0.0,1440.25,-61.26624999999992,36.78925000000009,1171.0,1384.0,805.5,36.78925000000009,0.0172011422798413,0.01720114227984189,0.025069368732965024,2.5,664.5,664.5,709.25
max,1557.0,2665.0,2665.0,0.0,0.0015403780600016133,252.6930000000005,0.005245934003665093,1.0,1360.0,1184.0,0.0,2741.0,49.94299999999975,252.6930000000005,1171.0,2368.0,1370.0,252.6930000000005,0.0602905846013056,0.060290584601304216,0.13348811410459613,3.0,1108.0,1108.0,1206.0
